variable,label,unweighted_pct,weighted_pct,difference,n_valid
RHQ131,Ever been pregnant,71.83010618363522,66.00580375719463,-5.824302426440596,1601
RHQ162,Gestational diabetes (GDM),11.29597197898424,10.912890985577011,-0.3830809934072281,1142
RHQ172,Macrosomia (baby ≥9 lbs),13.57210179076343,15.00821789555255,1.4361161047891198,1061
RHD280,Had a hysterectomy,3.8510101010101008,4.31818468082754,0.46717457981743893,1584
RHQ305,Had both ovaries removed,0.949367088607595,1.5872621577617274,0.6378950691541324,1580
RHQ074,Tried ≥1 year to conceive without success,11.9375,11.341400573972829,-0.5960994260271715,1600
RHQ076,Seen doctor for inability to conceive,7.682698313554029,8.023514431647385,0.34081611809335577,1601
RHQ078,Ever treated for PID,5.660377358490567,4.72023966138204,-0.9401376971085265,1590
RHQ031,Had regular periods in past 12 months,89.631480324797,88.81812679721064,-0.8133535275863579,1601
RHQ540,Ever used female hormones,4.132748904195367,6.153550094116367,2.0208011899210003,1597
